bio-human-gene2,ca-citeseer,co-papers-citeseer,ER-AvgDev10-100K-L2,MANN-a81,p2p-Gnutella25,rec-movielens,Wiki-Vote,yahoo-msg
2.66344,239.4,248.885,91.2367,0.776522,36.2829,18.0117,2.10238,12.2943
0.901191,139.248,133.218,47.0126,0.364089,17.6605,8.81631,1.13517,8.77356
0.612992,90.4179,90.4168,31.5115,0.244029,11.9796,5.7766,0.763683,5.62662
0.542391,68.2834,70.5679,25.3862,0.18788,9.26266,4.41234,0.580051,4.20635
0.419476,55.8067,56.7212,20.0638,0.146232,7.32088,3.55578,0.461203,3.25695
0.347427,45.1209,48.3038,16.4796,0.124771,5.9295,3.15304,0.401409,2.50962
0.313502,39.5062,39.9314,14.6566,0.105481,5.08604,2.66467,0.34587,2.40897
0.276992,32.7442,35.5685,12.7496,0.0925121,4.50742,2.3115,0.299801,2.16489
0.246464,34.4285,32.9523,12.5211,0.0889571,4.58512,2.068,0.272241,1.92352
0.221945,31.4916,29.9742,10.9495,0.0826237,4.55638,1.92335,0.237855,1.74366
0.199377,29.5134,29.4838,10.8868,0.0776437,4.41014,1.80921,0.22078,1.6089
0.189257,28.345,27.9627,10.2935,0.0686167,4.26293,1.64673,0.201333,1.47916
0.175544,27.9826,27.2623,10.2289,0.0638346,4.08536,1.57634,0.186896,1.4093
0.163167,23.7374,26.2807,10.2237,0.0589866,3.98602,1.49487,0.179637,1.32247
0.14865,24.1215,26.4411,9.98776,0.0561116,4.01191,1.41436,0.172512,1.23972
0.141979,24.777,25.4957,9.37061,0.0548187,3.83435,1.3904,0.16867,1.18304
0.131556,23.7742,25.2067,9.45033,0.0521589,3.7039,1.4243,0.169904,1.13134
0.133431,24.0881,24.2619,9.41858,0.0569002,3.54244,1.40477,0.171712,1.04894
0.130157,23.3809,24.1518,9.18698,0.0500282,3.48674,1.37385,0.169083,1.02553
0.125216,23.0008,23.3402,9.10132,0.0485611,3.49013,1.33651,0.163538,0.974848